H1,Er1,W1,W2,T1,Zo
2.3,3.2,4,3.5,0.7,57.2199
2.4,3.2,4,3.5,0.7,58.6264
2.5,3.2,4,3.5,0.7,59.9919
2.6,3.2,4,3.5,0.7,61.3147
2.7,3.2,4,3.5,0.7,62.6072
2.8,3.2,4,3.5,0.7,63.8661
2.9,3.2,4,3.5,0.7,65.0776
3,3.2,4,3.5,0.7,66.2452
3.1,3.2,4,3.5,0.7,67.4087
3.2,3.2,4,3.5,0.7,68.5309
3.3,3.2,4,3.5,0.7,69.6258
3.4,3.2,4,3.5,0.7,70.693
3.5,3.2,4,3.5,0.7,71.7348
3.6,3.2,4,3.5,0.7,72.7639
3.7,3.2,4,3.5,0.7,73.7717
3.8,3.2,4,3.5,0.7,74.7441
3.9,3.2,4,3.5,0.7,75.6956
4,3.2,4,3.5,0.7,76.6261
4.1,3.2,4,3.5,0.7,77.537
4.2,3.2,4,3.5,0.7,78.4255
4.3,3.2,4,3.5,0.7,79.2995
4.4,3.2,4,3.5,0.7,80.1677
4.5,3.2,4,3.5,0.7,81.0075
4.6,3.2,4,3.5,0.7,81.8311
4.7,3.2,4,3.5,0.7,82.6392
4.8,3.2,4,3.5,0.7,83.4481
4.9,3.2,4,3.5,0.7,84.2272
5,3.2,4,3.5,0.7,84.9917
5.1,3.2,4,3.5,0.7,85.7432
5.2,3.2,4,3.5,0.7,86.4816
5.3,3.2,4,3.5,0.7,87.2177
5.4,3.2,4,3.5,0.7,87.9314
5.5,3.2,4,3.5,0.7,88.649
5.6,3.2,4,3.5,0.7,89.3397
5.7,3.2,4,3.5,0.7,90.0187
5.8,3.2,4,3.5,0.7,90.6875
5.9,3.2,4,3.5,0.7,91.346
6,3.2,4,3.5,0.7,91.9857
6.1,3.2,4,3.5,0.7,92.6242
6.2,3.2,4,3.5,0.7,93.2772
6.3,3.2,4,3.5,0.7,93.8964
6.4,3.2,4,3.5,0.7,94.5074
6.5,3.2,4,3.5,0.7,95.0913
6.6,3.2,4,3.5,0.7,95.6847
